id,popularity,poster_path,release_date,title
426,25.913,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,5/28/1958,Vertigo
11,80.281,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,5/25/1977,Star Wars
470044,27.324,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,10/19/2018,The Hate U Give
398818,98.991,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,9/1/2017,Call Me by Your Name
35747,1.085,/8xE5pDzPMwmbhafrsbCfzd4qsai.jpg,2008-06-11,Valley of the Wolves Gladio
49026,83.394,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,2012-07-16,The Dark Knight Rises
475557,168.572,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,Joker
10719,20.73,/zDHFQmaxlTIJGQDfTrLTL9RK2tQ.jpg,2003-10-09,Elf
181533,51.009,/59SSIPHODnfYicoUufm3p041xZ5.jpg,2014-12-17,Night at the Museum: Secret of the Tomb
155,89.437,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-14,The Dark Knight
1366,79.923,/hEjK9A9BkNXejFW4tfacVAEHtkn.jpg,1976-11-21,Rocky
562,40.907,/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,1988-07-15,Die Hard
949,50.514,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995-12-15,Heat
78,48.173,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,1982-06-25,Blade Runner
24428,230.762,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012-04-25,The Avengers
5915,29.271,/2MSGZEE6XZd2r4ODNziwAw7Hpw0.jpg,2007-09-11,Into the Wild
500,32.996,/lsBnfheKZBO3UKU7lVHIeGZLWuF.jpg,1992-09-02,Reservoir Dogs
417870,31.887,/fM1h8CwtdileV3zlemXx7UWJjOP.jpg,2017-07-21,Girls Trip
464052,179.71,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,2020-12-16,Wonder Woman 1984
525,16.071,/rhYJKOt6UrQq7JQgLyQcSWW5R86.jpg,1980-06-16,The Blues Brothers
624860,297.282,/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,2021-12-16,The Matrix Resurrections
